region,price,construction_area,saleable_area
東涌,售 775 萬,建築面積 : 984呎@7876,實用面積: 734呎@10559
鑽石山,售 598 萬,建築面積 : --,實用面積: 383呎@15614
屯門,售 628 萬,建築面積 : --,實用面積: 488呎@12869
將軍澳,"售 1,080 萬",建築面積 : --,實用面積: 625呎@17280
太古城,售 900 萬,建築面積 : 591呎@15228,實用面積: 504呎@17857
奧運,"售 5,200 萬",建築面積 : 1971呎@26383,實用面積: 1523呎@34143
大圍,"售 1,150 萬",建築面積 : 980呎@11734,實用面積: 739呎@15562
藍田,售 855 萬,建築面積 : 680呎@12574,實用面積: 537呎@15922
將軍澳,售 908 萬,建築面積 : --,實用面積: 708呎@12825
九龍灣,售 570 萬,建築面積 : 443呎@12866,實用面積: 322呎@17702
天水圍,售 458 萬,建築面積 : --,實用面積: 446呎@10269
天水圍,售 538 萬,建築面積 : --,實用面積: 550呎@9782
天水圍,售 600 萬,建築面積 : --,實用面積: 629呎@9539
元朗,售 490 萬,建築面積 : 700呎@7000,實用面積: --
天水圍,售 580 萬,建築面積 : 653呎@8882,實用面積: 489呎@11861
屯門,售 410 萬,建築面積 : 700呎@5857,實用面積: 650呎@6308
將軍澳,售 748 萬,建築面積 : 695呎@10762,實用面積: 525呎@14248
北角,售 610 萬,建築面積 : --,實用面積: 612呎@9967
火炭,售 915 萬,建築面積 : 717呎@12761,實用面積: 555呎@16486
屯門,售 348 萬,建築面積 : 467呎@7452,實用面積: 325呎@10708
天水圍,售 485 萬,建築面積 : 576呎@8420,實用面積: 442呎@10973
屯門,售 458 萬,建築面積 : 479呎@9561,實用面積: 363呎@12617
藍田,售 950 萬,建築面積 : --,實用面積: 614呎@15472
天水圍,售 808 萬,建築面積 : --,實用面積: 712呎@11348
天水圍,售 588 萬,建築面積 : 811呎@7250,實用面積: 630呎@9333
美孚,"售 1,038 萬",建築面積 : 1000呎@10380,實用面積: 743呎@13970
天水圍,售 528 萬,建築面積 : 714呎@7395,實用面積: 540呎@9778
九龍灣,售 688 萬,建築面積 : 633呎@10869,實用面積: 496呎@13871
九龍灣,售 480 萬,建築面積 : 397呎@12091,實用面積: 282呎@17021
元朗,售 250 萬,建築面積 : 350呎@7142,實用面積: --
天水圍,售 550 萬,建築面積 : 704呎@7812,實用面積: 550呎@10000
馬鞍山,售 510 萬,建築面積 : 515呎@9902,實用面積: 401呎@12718
天水圍,售 550 萬,建築面積 : 704呎@7812,實用面積: 550呎@10000
紅磡,"售 1,150 萬",建築面積 : 759呎@15151,實用面積: 561呎@20499
何文田,售 885 萬,建築面積 : 670呎@13209,實用面積: 536呎@16511
東涌,售 770 萬,建築面積 : 984呎@7825,實用面積: 734呎@10490
將軍澳,"售 1,800 萬",建築面積 : --,實用面積: 1087呎@16559
將軍澳,售 885 萬,建築面積 : 866呎@10219,實用面積: 658呎@13450
大圍,"售 1,268 萬",建築面積 : --,實用面積: 812呎@15616
荃灣,售 810 萬,建築面積 : --,實用面積: 391呎@20716
荃灣,售 965 萬,建築面積 : --,實用面積: 687呎@14047
葵涌,售 398 萬,建築面積 : 515呎@7728,實用面積: 401呎@9925
葵涌,售 325 萬,建築面積 : 500呎@6500,實用面積: 357呎@9104
元朗,售 748 萬,建築面積 : --,實用面積: 1001呎@7473
